DateTime, MainStage, SubStage, MetaData, CPU (%), Used Memory (MB), Max Heap (MB)
Wed Sep 10 09:34:31 IST 2025, Default overlays, io.joern.x2cpg.passes.base.TypeDeclStubCreator, Started, 20.27, 345.28, 4294.97
Wed Sep 10 09:34:31 IST 2025, Default overlays, io.joern.x2cpg.passes.base.TypeDeclStubCreator, Done, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:31 IST 2025, Default overlays, io.joern.x2cpg.passes.base.MethodStubCreator, Started, 21.09, 350.69, 4294.97
Wed Sep 10 09:34:31 IST 2025, Default overlays, io.joern.x2cpg.passes.base.MethodStubCreator, Done, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:31 IST 2025, Default overlays, io.joern.x2cpg.passes.base.ParameterIndexCompatPass, Started, 21.90, 366.36, 4294.97
Wed Sep 10 09:34:31 IST 2025, Default overlays, io.joern.x2cpg.passes.base.ParameterIndexCompatPass, Done, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:31 IST 2025, Default overlays, io.joern.x2cpg.passes.base.MethodDecoratorPass, Started, 18.38, 367.42, 4294.97
Wed Sep 10 09:34:31 IST 2025, Default overlays, io.joern.x2cpg.passes.base.MethodDecoratorPass, Done, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:31 IST 2025, Default overlays, io.joern.x2cpg.passes.base.AstLinkerPass, Started, 27.17, 344.73, 4294.97
Wed Sep 10 09:34:31 IST 2025, Default overlays, io.joern.x2cpg.passes.base.AstLinkerPass, Done, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:31 IST 2025, Default overlays, io.joern.x2cpg.passes.base.ContainsEdgePass, Started, 26.19, 335.58, 4294.97
Wed Sep 10 09:34:32 IST 2025, Default overlays, io.joern.x2cpg.passes.base.ContainsEdgePass, ForkJoinParallelCpgPass, 58.90, 341.96, 4294.97
Wed Sep 10 09:34:32 IST 2025, Default overlays, io.joern.x2cpg.passes.base.ContainsEdgePass, Done, 58.90, 341.96, 4294.97
Wed Sep 10 09:34:32 IST 2025, Default overlays, io.joern.x2cpg.passes.base.TypeRefPass, Started, 52.48, 230.26, 4294.97
Wed Sep 10 09:34:32 IST 2025, Default overlays, io.joern.x2cpg.passes.base.TypeRefPass, Done, 0.00, 0.00, 4294.97
